"","folder","ess_likelihood","tree","best_or_gen"
"356","data/0.2-0-0.5-0.15/329",482,"twin","best"
"357","data/0.2-0-0.5-0.15/330",901,"true","gen"
"358","data/0.2-0-0.5-0.15/330",743,"true","best"
"359","data/0.2-0-0.5-0.15/330",901,"twin","gen"
"360","data/0.2-0-0.5-0.15/330",901,"twin","best"
"361","data/0.2-0-0.5-0.15/331",901,"true","gen"
"362","data/0.2-0-0.5-0.15/331",768,"true","best"
"363","data/0.2-0-0.5-0.15/331",753,"twin","gen"
"364","data/0.2-0-0.5-0.15/331",901,"twin","best"
"365","data/0.2-0-0.5-0.15/332",901,"true","gen"
"366","data/0.2-0-0.5-0.15/332",800,"true","best"
"367","data/0.2-0-0.5-0.15/332",807,"twin","gen"
"368","data/0.2-0-0.5-0.15/332",829,"twin","best"
"369","data/0.2-0-0.5-0.15/333",815,"true","gen"
"370","data/0.2-0-0.5-0.15/333",562,"true","best"
"371","data/0.2-0-0.5-0.15/333",885,"twin","gen"
"372","data/0.2-0-0.5-0.15/333",3,"twin","best"
"373","data/0.2-0-0.5-0.15/334",766,"true","gen"
"374","data/0.2-0-0.5-0.15/334",901,"true","best"
"375","data/0.2-0-0.5-0.15/334",888,"twin","gen"
"376","data/0.2-0-0.5-0.15/334",773,"twin","best"
"377","data/0.2-0-0.5-0.15/335",901,"true","gen"
"378","data/0.2-0-0.5-0.15/335",595,"true","best"
"379","data/0.2-0-0.5-0.15/335",885,"twin","gen"
"380","data/0.2-0-0.5-0.15/335",685,"twin","best"
"381","data/0.2-0-0.5-0.15/336",895,"true","gen"
"382","data/0.2-0-0.5-0.15/336",703,"true","best"
"383","data/0.2-0-0.5-0.15/336",827,"twin","gen"
"384","data/0.2-0-0.5-0.15/336",771,"twin","best"
"385","data/0.2-0-0.5-0.15/337",901,"true","gen"
"386","data/0.2-0-0.5-0.15/337",789,"true","best"
"387","data/0.2-0-0.5-0.15/337",901,"twin","gen"
"388","data/0.2-0-0.5-0.15/337",813,"twin","best"
